Name,Weight (%)
"VERTEX PHARMACEUTICALS INCORPORATED","1.56"
"T-MOBILE US INC","1.54"
"MCDONALDS CORPORATION","1.50"
"MERCK & CO INC","1.49"
"MICROSOFT CORPORATION","1.48"
"VERIZON COMMUNICATIONS INC","1.48"
"WASTE MANAGEMENT INC","1.47"
"VISA INC","1.47"
"JOHNSON & JOHNSON","1.46"
"PEPSICO INC","1.44"
