Name,Weight (%)
"ZILLOW GROUP INC","0.47"
"PLUG POWER INC","0.44"
"ETSY INC","0.41"
"GAMESTOP CORP","0.34"
"ENPHASE ENERGY INC","0.34"
"MONGODB INC","0.33"
"CATALENT INC","0.33"
"TERADYNE INC","0.33"
"ALBEMARLE CORP","0.30"
"ZENDESK INC","0.29"
