Name,Weight (%)
"TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD","2.05"
"TENCENT HOLDINGS LTD","1.99"
"ALIBABA GROUP HOLDING LTD","1.90"
"SAMSUNG ELECTRONICS CO LTD","1.60"
"NESTLE SA","1.29"
"ROCHE HOLDING AG","0.96"
"ASML HOLDING NV","0.89"
"NOVARTIS AG","0.79"
"LVMH MOET HENNESSY LOUIS VUITTON SE","0.67"
"MEITUAN","0.66"
