Name,Weight (%)
"APPLE INC","5.98"
"MICROSOFT CORPORATION","4.65"
"AMAZON.COM INC","3.86"
"ALPHABET INC","2.89"
"FACEBOOK INC","1.83"
"TESLA INC","1.49"
"BERKSHIRE HATHAWAY INC","1.22"
"JOHNSON & JOHNSON","1.16"
"JPMORGAN CHASE & CO","1.08"
"VISA INC","1.03"
