Name,Weight (%)
"NESTLE SA","2.14"
"ROCHE HOLDING AG","1.53"
"NOVARTIS AG","1.33"
"ASML HOLDING NV","1.22"
"UNILEVER PLC","1.06"
"LVMH MOET HENNESSY LOUIS VUITTON SE","1.06"
"TOYOTA MOTOR CORPORATION","0.94"
"ASTRAZENECA PLC","0.91"
"AIA GROUP LTD","0.88"
"ROYAL DUTCH SHELL PLC","0.86"
