Name,Weight (%)
"NESTLE SA","2.07"
"ROCHE HOLDING AG","1.55"
"ASML HOLDING NV","1.45"
"NOVARTIS AG","1.28"
"LVMH MOET HENNESSY LOUIS VUITTON SE","1.07"
"UNILEVER PLC","0.98"
"TOYOTA MOTOR CORPORATION","0.95"
"AIA GROUP LTD","0.93"
"ROYAL DUTCH SHELL PLC","0.90"
"ASTRAZENECA PLC","0.86"
