Name,Weight (%)
"ALIBABA GROUP HOLDING LTD","2.08"
"TENCENT HOLDINGS LTD","1.74"
"TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD","1.73"
"SAMSUNG ELECTRONICS CO LTD","1.38"
"NESTLE SA","1.34"
"ROCHE HOLDING AG","0.96"
"NOVARTIS AG","0.83"
"ASML HOLDING NV","0.77"
"UNILEVER PLC","0.66"
"LVMH MOET HENNESSY LOUIS VUITTON SE","0.66"
