Name,Weight (%)
"NOVO NORDISK A/S","1.53"
"ROCHE HOLDING AG","1.51"
"GIVAUDAN SA","1.50"
"SWISSCOM AG","1.48"
"CHUGAI PHARMACEUTICAL CO LTD","1.47"
"COLOPLAST A/S","1.46"
"NESTLE SA","1.45"
"NOVARTIS AG","1.42"
"HERMES INTERNATIONAL SCA","1.28"
"UNILEVER PLC","1.11"
