Name,Weight (%)
"PROLOGIS INC","4.92"
"VONOVIA SE","2.61"
"DIGITAL REALTY TRUST INC","2.41"
"PUBLIC STORAGE","2.26"
"SIMON PROPERTY GROUP INC","1.78"
"WELLTOWER INC","1.76"
"AVALONBAY COMMUNITIES INC","1.57"
"EQUITY RESIDENTIAL","1.42"
"REALTY INCOME CORPORATION","1.38"
"ALEXANDRIA REAL ESTATE EQUITIES INC","1.37"
