Name,Weight (%)
"UNITED STATES TREASURY","37.60"
"FEDERAL NATIONAL MORTGAGE ASSOCIATION","10.52"
"GOVERNMENT NATIONAL MORTGAGE ASSOCIATION II","6.86"
"UNIFORM MBS","5.31"
"FEDERAL HOME LOAN MORTGAGE CORPORATION","4.43"
"FEDERAL HOME LOAN MORTGAGE CORPORATION -GOLD","0.92"
"BANK OF AMERICA CORP","0.61"
"JPMORGAN CHASE & CO","0.58"
"WELLS FARGO & COMPANY","0.44"
"MORGAN STANLEY","0.43"
