Name,Weight (%)
"APPLE INC","5.60"
"MICROSOFT CORPORATION","4.36"
"AMAZON.COM INC","3.61"
"ALPHABET INC","2.70"
"FACEBOOK INC","1.72"
"TESLA INC","1.40"
"BERKSHIRE HATHAWAY INC","1.14"
"JOHNSON & JOHNSON","1.09"
"JPMORGAN CHASE & CO","1.01"
"VISA INC","0.97"
