Name,Weight (%)
"TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD","1.84"
"ALIBABA GROUP HOLDING LTD","1.74"
"TENCENT HOLDINGS LTD","1.66"
"SAMSUNG ELECTRONICS CO LTD","1.63"
"NESTLE SA","1.32"
"ROCHE HOLDING AG","0.97"
"NOVARTIS AG","0.83"
"ASML HOLDING NV","0.81"
"LVMH MOET HENNESSY LOUIS VUITTON SE","0.69"
"TOYOTA MOTOR CORPORATION","0.64"
