Name,Weight (%)
"ZILLOW GROUP INC","0.55"
"ETSY INC","0.42"
"HUBSPOT INC","0.35"
"TERADYNE INC","0.35"
"GENERAC HOLDINGS INC","0.33"
"MONGODB INC","0.32"
"PLUG POWER INC","0.32"
"ENPHASE ENERGY INC","0.31"
"TRIMBLE INC","0.30"
"CATALENT INC","0.30"
