Name,Weight (%)
"VERTEX PHARMACEUTICALS INCORPORATED","1.58"
"JOHNSON & JOHNSON","1.54"
"T-MOBILE US INC","1.52"
"MICROSOFT CORPORATION","1.50"
"VISA INC","1.49"
"MERCK & CO INC","1.47"
"ACCENTURE PLC","1.47"
"NEXTERA ENERGY INC","1.47"
"PEPSICO INC","1.45"
"MCDONALDS CORPORATION","1.44"
