Name,Weight (%)
"PROLOGIS INC","4.57"
"DIGITAL REALTY TRUST INC","2.36"
"SIMON PROPERTY GROUP INC","2.29"
"VONOVIA SE","2.28"
"PUBLIC STORAGE","2.21"
"WELLTOWER INC","1.78"
"AVALONBAY COMMUNITIES INC","1.55"
"EQUITY RESIDENTIAL","1.51"
"SUN HUNG KAI PROPERTIES LTD","1.43"
"ALEXANDRIA REAL ESTATE EQUITIES INC","1.34"
