Name,Weight (%)
"APPLE INC","4.24"
"INTEL CORPORATION","2.72"
"MICROSOFT CORPORATION","2.71"
"WALMART INC","2.66"
"TARGET CORPORATION","2.38"
"MICRON TECHNOLOGY INC","2.17"
"ANTHEM INC","2.13"
"AMAZON.COM INC","2.12"
"ACTIVISION BLIZZARD INC","1.87"
"REGENERON PHARMACEUTICALS INC.","1.65"
