Name,Weight (%)
"ISHARES RUSSELL MIDCAP INDEX FUND","0.71"
"TWITTER INC","0.61"
"TWILIO INC","0.57"
"FREEPORT-MCMORAN INC","0.50"
"KLA CORP","0.49"
"FORD MOTOR COMPANY","0.46"
"IDEXX LABORATORIES INC.","0.44"
"ALIGN TECHNOLOGY INC","0.44"
"MODERNA INC","0.44"
"ROKU INC","0.44"
