Name,Weight (%)
"PROLOGIS INC","4.73"
"VONOVIA SE","2.67"
"DIGITAL REALTY TRUST INC","2.51"
"PUBLIC STORAGE","2.24"
"SIMON PROPERTY GROUP INC","1.78"
"WELLTOWER INC","1.74"
"ALEXANDRIA REAL ESTATE EQUITIES INC","1.54"
"AVALONBAY COMMUNITIES INC","1.45"
"REALTY INCOME CORPORATION","1.41"
"EQUITY RESIDENTIAL","1.40"
