Name,Weight (%)
"ROCHE HOLDING AG","2.99"
"RIO TINTO PLC","2.68"
"BHP GROUP PLC","2.55"
"KONINKLIJKE PHILIPS NV","2.21"
"HITACHI LTD","2.17"
"NIPPON TELEGRAPH AND TELEPHONE CORPORATION","1.88"
"RIO TINTO LTD","1.86"
"NOVO NORDISK A/S","1.84"
"KONINKLIJKE AHOLD DELHAIZE NV","1.77"
"FORTESCUE METALS GROUP LTD","1.74"
