Name,Weight (%)
"APPLE INC","5.38"
"MICROSOFT CORPORATION","4.78"
"AMAZON.COM INC","3.60"
"ALPHABET INC","3.29"
"FACEBOOK INC","1.70"
"TESLA INC","1.40"
"BERKSHIRE HATHAWAY INC","1.24"
"JPMORGAN CHASE & CO","1.22"
"JOHNSON & JOHNSON","1.15"
"VISA INC","0.99"
