Name,Weight (%)
"PENN NATIONAL GAMING INC","0.58"
"SUNRUN INC","0.48"
"CAESARS ENTERTAINMENT INC","0.41"
"MYOKARDIA INC","0.37"
"NOVAVAX INC","0.35"
"IRHYTHM TECHNOLOGIES INC","0.35"
"LHC GROUP INC","0.34"
"MIRATI THERAPEUTICS INC","0.33"
"CHURCHILL DOWNS INCORPORATED","0.33"
"MOMENTA PHARMACEUTICALS INC.","0.33"
