Name,Weight (%)
"UNITED STATES TREASURY","37.96"
"FEDERAL NATIONAL MORTGAGE ASSOCIATION","10.35"
"GOVERNMENT NATIONAL MORTGAGE ASSOCIATION II","6.14"
"UNIFORM MBS","6.07"
"FEDERAL HOME LOAN MORTGAGE CORPORATION","4.14"
"FEDERAL HOME LOAN MORTGAGE CORPORATION -GOLD","0.98"
"BANK OF AMERICA CORP","0.62"
"JPMORGAN CHASE & CO","0.58"
"WELLS FARGO & COMPANY","0.45"
"MORGAN STANLEY","0.44"
