Name,Weight (%)
"APPLE INC","6.37"
"MICROSOFT CORPORATION","5.39"
"AMAZON.COM INC","4.49"
"ALPHABET INC","3.47"
"FACEBOOK INC","2.22"
"BERKSHIRE HATHAWAY INC","1.51"
"JOHNSON & JOHNSON","1.27"
"JPMORGAN CHASE & CO","1.20"
"VISA INC","1.18"
"PROCTER & GAMBLE CO","1.15"
