Name,Weight (%)
"NESTLE SA","2.15"
"ROCHE HOLDING AG","1.55"
"NOVARTIS AG","1.33"
"ASML HOLDING NV","1.31"
"LVMH MOET HENNESSY LOUIS VUITTON SE","1.10"
"TOYOTA MOTOR CORPORATION","1.03"
"UNILEVER PLC","1.00"
"AIA GROUP LTD","0.94"
"SAP SE","0.87"
"ROYAL DUTCH SHELL PLC","0.86"
