Name,Weight (%)
"NESTLE SA","1.89"
"ROCHE HOLDING AG","1.51"
"ASML HOLDING NV","1.50"
"NOVARTIS AG","1.20"
"LVMH MOET HENNESSY LOUIS VUITTON SE","1.11"
"TOYOTA MOTOR CORPORATION","0.98"
"ROYAL DUTCH SHELL PLC","0.97"
"AIA GROUP LTD","0.95"
"SOFTBANK GROUP CORP","0.91"
"UNILEVER PLC","0.86"
