Name,Weight (%)
"APPLE INC","6.00"
"MICROSOFT CORPORATION","5.44"
"AMAZON.COM INC","4.09"
"ALPHABET INC","3.72"
"FACEBOOK INC","1.92"
"TESLA INC","1.59"
"BERKSHIRE HATHAWAY INC","1.45"
"JPMORGAN CHASE & CO","1.39"
"JOHNSON & JOHNSON","1.29"
"VISA INC","1.12"
