Name,Weight (%)
"TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD","2.08"
"TENCENT HOLDINGS LTD","1.90"
"ALIBABA GROUP HOLDING LTD","1.74"
"SAMSUNG ELECTRONICS CO LTD","1.56"
"NESTLE SA","1.17"
"ROCHE HOLDING AG","0.96"
"ASML HOLDING NV","0.93"
"NOVARTIS AG","0.75"
"LVMH MOET HENNESSY LOUIS VUITTON SE","0.68"
"MEITUAN","0.61"
