Name,Weight (%)
"TENNESSEE ST 4 08/01/2025","1.54"
"NEW YORK ST URBAN DEV CORP REV 4 03/15/2049","0.91"
"SALT RIV PROJ AGRIC IMPT & PWR 5 01/01/2034","0.89"
"NEW YORK N Y CITY MUN WTR FIN 5 06/15/2035","0.84"
"GOLDEN ST TOB SECURITIZATION C 5 06/01/2034","0.83"
"SAN DIEGO CALIF UNI SCH DIST 5 07/01/2047","0.75"
"NEW YORK N Y CITY TRANSITIONAL 5 07/15/2035","0.72"
"METROPOLITAN TRANSN AUTH N Y R 5 11/15/2034","0.69"
"CALIFORNIA HEALTH FACS FING AU 5 11/15/2048","0.68"
"KING CNTY WASH SWR REV 5 07/01/2039","0.68"
