Name,Weight (%)
"ISHARES RUSSELL MIDCAP INDEX FUND","0.62"
"TWILIO INC","0.50"
"TWITTER INC","0.45"
"IDEXX LABORATORIES INC.","0.45"
"ALIGN TECHNOLOGY INC","0.44"
"SPOTIFY TECHNOLOGY SA","0.44"
"KLA CORP","0.43"
"DOCUSIGN INC","0.42"
"LULULEMON ATHLETICA INC","0.42"
"SYNOPSYS INC","0.41"
