Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"LXS","LANXESS AG","Materials","Equity","258,882.44","0.43","258,882.44","3,377.00","-","DE0005470405","B05M8B7","76.65","Germany","Xetra","USD","0.83","EUR"
"KGX","KION GROUP AG","Industrials","Equity","256,340.83","0.42","256,340.83","2,934.00","-","DE000KGX8881","BB22L96","87.36","Germany","Xetra","USD","0.83","EUR"
"BC8","BECHTLE AG","Information Technology","Equity","239,344.59","0.39","239,344.59","1,110.00","S59324095","DE0005158703","5932409","215.55","Germany","Xetra","USD","0.83","EUR"
"G1A","GEA GROUP AG","Industrials","Equity","217,716.85","0.36","217,716.85","6,237.00","S45571049","DE0006602006","4557104","34.91","Germany","Xetra","USD","0.83","EUR"
"RAA","RATIONAL AG","Industrials","Equity","204,219.84","0.34","204,219.84","208.00","S59106096","DE0007010803","5910609","980.50","Germany","Xetra","USD","0.83","EUR"
"UTDI","UNITED INTERNET AG","Communication","Equity","189,217.14","0.31","189,217.14","4,366.00","S43541341","DE0005089031","4354134","43.34","Germany","Xetra","USD","0.83","EUR"
"NEM","NEMETSCHEK","Information Technology","Equity","167,384.62","0.28","167,384.62","2,348.00","S56339625","DE0006452907","5633962","71.29","Germany","Xetra","USD","0.83","EUR"
"FPE3","FUCHS PETROLUB PREF","Materials","Equity","160,615.04","0.27","160,615.04","2,826.00","S43543503","DE0005790430","4354350","56.84","Germany","Xetra","USD","0.83","EUR"
"LHA","DEUTSCHE LUFTHANSA AG","Industrials","Equity","157,429.00","0.26","157,429.00","12,138.00","S52874880","DE0008232125","5287488","12.97","Germany","Xetra","USD","0.83","EUR"
"BMW3","BMW PREF AG","Consumer Discretionary","Equity","148,864.63","0.25","148,864.63","2,303.00","S57560302","DE0005190037","5756030","64.64","Germany","Xetra","USD","0.83","EUR"
"O2D","TELEFONICA DEUTSCHLAND HOLDING AG","Communication","Equity","116,450.12","0.19","116,450.12","42,813.00","-","DE000A1J5RX9","B7VG6L8","2.72","Germany","Xetra","USD","0.83","EUR"
"HOT","HOCHTIEF AG","Industrials","Equity","96,069.09","0.16","96,069.09","999.00","S51086643","DE0006070006","5108664","96.18","Germany","Xetra","USD","0.83","EUR"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","73,895.58","0.12","73,895.58","73,896.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","58,132.33","0.10","58,132.33","58,132.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD"
"UBFUT","CASH COLLATERAL EUR UBFUT","Cash and/or Derivatives","Cash Collateral and Margins","32,023.03","0.05","32,023.03","265.00","-","-","-","120.83","European Union","-","USD","0.83","EUR"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","30,612.05","0.05","30,612.05","30,612.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","26,167.44","0.04","26,167.44","26,167.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","18,086.58","0.03","18,086.58","18,087.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","15,709.44","0.03","15,709.44","15,709.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","10,305.19","0.02","10,305.19","10,305.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","4,522.82","0.01","4,522.82","4,523.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","3,318.66","0.01","3,318.66","3,319.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","86.12","0.00","86.12","86.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"EUR","EUR/USD","Cash and/or Derivatives","FX","0.00","0.00","0.00","0.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"EUR","EUR/USD","Cash and/or Derivatives","FX","0.00","0.00","0.00","0.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"GXH1","DAX INDEX MAR 21","Cash and/or Derivatives","Futures","0.00","0.00","0.00","0.00","-","DE000C5HZJF7","-","16,466.10","-","Eurex Deutschland","USD","0.83","EUR"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","-35.93","0.00","-35.93","-36.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","-71.24","0.00","-71.24","-71.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","-179.21","0.00","-179.21","-179.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","-473.91","0.00","-473.91","-474.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","-2,767.12","0.00","-2,767.12","-2,767.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","-3,643.32","-0.01","-3,643.32","-3,643.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","-9,628.15","-0.02","-9,628.15","-9,628.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","-19,623.19","-0.03","-19,623.19","-19,623.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","-22,768.11","-0.04","-22,768.11","-22,768.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","-30,614.34","-0.05","-30,614.34","-30,614.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","-41,180.84","-0.07","-41,180.84","-41,181.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","-296,504.88","-0.49","-296,504.88","-296,505.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"USD","USD CASH","Cash and/or Derivatives","Cash","-504,446.25","-0.83","-504,446.25","-5,044.00","-","-","-","100.00","United States","-","USD","1.00","USD"
