Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"EAGG","iShares ESG Aware US Agg Bond ETF","Other","Fixed Income","2,108,980.99","35.53","2,108,980.99","38,671.00","38,671.00","46435U549","US46435U5496","BF2KNM5","54.54","United States","NYSE Arca","USD","6.27","1.55","1.00","-","0.00","6.27","-","1.54","6.23","1.54","USD","Oct 23, 2018","-"
"ESGU","iShares ESG Aware MSCI USA ETF","Financials","Equity","2,099,525.40","35.37","2,099,525.40","23,212.00","23,212.00","46435G425","US46435G4257","BD6C4F3","90.45","United States","NASDAQ","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","Dec 01, 2016","-"
"ESGD","iShares ESG Aware MSCI EAFE ETF","Financials","Equity","968,603.47","16.32","968,603.47","12,713.00","12,713.00","46435G516","US46435G5163","BD06LG1","76.19","United States","NASDAQ","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","Jun 30, 2016","-"
"ESGE","iShares ESG Aware MSCI EM ETF","Financials","Equity","456,213.50","7.69","456,213.50","10,585.00","10,585.00","46434G863","US46434G8630","BD06LN8","43.10","United States","NASDAQ","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","Jun 30, 2016","-"
"ESML","iShares ESG Aware MSCI USA Small-C","Financials","Equity","279,436.80","4.71","279,436.80","7,296.00","7,296.00","46435U663","US46435U6635","BDS5PH9","38.30","United States","Cboe BZX formerly known as BATS","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","Apr 12, 2018","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","12,568.33","0.21","12,568.33","12,568.00","12,568.00","-","-","-","100.00","United States","-","USD","0.00","0.12","1.00","-","0.00","0.00","-","0.12","0.00","0.12","USD","Jan 01, 1989","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","10,000.00","0.17","10,000.00","10,000.00","10,000.00","066922477","US0669224778","-","1.00","United States","-","USD","0.10","0.03","1.00","-","0.12","0.13","-","0.03","0.13","0.03","USD","Feb 04, 2009","-"
