Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"INR","INR/USD","Cash and/or Derivatives","Forwards","81,543.79","0.04","81,543.79","81,544.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"1099","SINOPHARM GROUP LTD H","Health Care","Equity","81,211.77","0.04","81,211.77","33,838.00","-","CNE100000FN7","B3ZVDV0","2.40","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD"
"148","KINGBOARD HOLDINGS LTD","Information Technology","Equity","81,048.61","0.04","81,048.61","18,051.00","S64913189","KYG525621408","6491318","4.49","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD"
"UGPA3","ULTRAPAR PARTICIPOES SA","Energy","Equity","80,885.45","0.04","80,885.45","18,680.00","-","BRUGPAACNOR8","B0FHTN1","4.33","Brazil","XBSP","USD","5.50","BRL"
"DIALOG","DIALOG GROUP","Energy","Equity","80,661.11","0.04","80,661.11","98,367.00","-","MYL7277OO006","B00MRS2","0.82","Malaysia","Bursa Malaysia","USD","4.05","MYR"
"SANB11","BANCO SANTANDER BRASIL UNITS SA","Financials","Equity","80,559.14","0.04","80,559.14","9,921.00","-","BRSANBCDAM13","B4V5RY4","8.12","Brazil","XBSP","USD","5.50","BRL"
"6186","CHINA FEIHE LTD","Consumer Staples","Equity","80,436.77","0.04","80,436.77","28,830.00","-","KYG2121Q1055","BK0SBL1","2.79","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD"
"000720","HYUNDAI ENGINEERING & CONSTRUCTION","Industrials","Equity","79,906.50","0.04","79,906.50","1,988.00","S64509888","KR7000720003","6450988","40.19","Korea (South)","Korea Exchange (Stock Market)","USD","1,097.35","KRW"
"2350","SAUDI KAYAN PETROCHEMICAL","Materials","Equity","79,702.56","0.04","79,702.56","20,229.00","-","SA000A0MQCJ2","B1Z8F66","3.94","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR"
"3231","WISTRON CORP","Information Technology","Equity","79,641.37","0.04","79,641.37","71,749.00","S66724816","TW0003231007","6672481","1.11","Taiwan","Taiwan Stock Exchange","USD","27.98","TWD"
"1988","CHINA MINSHENG BANKING CORP LTD H","Financials","Equity","79,580.19","0.04","79,580.19","134,882.00","-","CNE100000HF9","B57JY24","0.59","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD"
"019170","SHINPOONG PHARMACEUTICAL LTD","Health Care","Equity","79,417.03","0.04","79,417.03","726.00","S68061167","KR7019170000","6806116","109.35","Korea (South)","Korea Exchange (Stock Market)","USD","1,097.35","KRW"
"CPN.R","CENTRAL PATTANA NON-VOTING DR PCL","Real Estate","Equity","79,315.06","0.04","79,315.06","49,572.00","-","TH0481010R10","B013L15","1.60","Thailand","Stock Exchange Of Thailand","USD","30.13","THB"
"LTI","LARSEN & TOUBRO INFOTECH LTD","Information Technology","Equity","79,233.48","0.04","79,233.48","1,370.00","-","INE214T01019","BD6F8V6","57.84","India","National Stock Exchange Of India","USD","73.39","INR"
"GARAN","TURKIYE GARANTI BANKASI A","Financials","Equity","79,070.32","0.04","79,070.32","56,078.00","-","TRAGARAN91N1","B03MYP5","1.41","Turkey","Istanbul Stock Exchange","USD","7.47","TRY"
"9921","GIANT MANUFACTURING LTD","Consumer Discretionary","Equity","78,968.35","0.04","78,968.35","7,742.00","S63721674","TW0009921007","6372167","10.20","Taiwan","Taiwan Stock Exchange","USD","27.98","TWD"
"SRTRANSFIN","SHRIRAM TRANSPORT FINANCE COMPANY","Financials","Equity","78,947.95","0.04","78,947.95","4,630.00","S68026087","INE721A01013","6802608","17.05","India","National Stock Exchange Of India","USD","73.39","INR"
"1080","ARAB NATIONAL BANK","Financials","Equity","78,927.56","0.04","78,927.56","14,456.00","-","SA0007879105","B12LZK2","5.46","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR"
"UNTR","UNITED TRACTORS","Energy","Equity","78,805.19","0.04","78,805.19","41,918.00","S62308457","ID1000058407","6230845","1.88","Indonesia","Indonesia Stock Exchange","USD","14,125.00","IDR"
"002352","S.F. HOLDING LTD A","Industrials","Equity","78,784.80","0.04","78,784.80","5,548.00","-","CNE100000L63","BD73M39","14.20","China","Shenzhen Stock Exchange","USD","6.48","CNY"
"2377","MICRO-STAR INTERNATIONAL LTD","Information Technology","Equity","78,764.40","0.04","78,764.40","17,160.00","S61334504","TW0002377009","6133450","4.59","Taiwan","Taiwan Stock Exchange","USD","27.98","TWD"
"600030","CITIC SECURITIES LTD A","Financials","Equity","78,356.51","0.04","78,356.51","17,336.00","-","CNE000001DB6","BP3R2J5","4.52","China","Shanghai Stock Exchange","USD","6.48","CNY"
"BRDT3","PETROBRAS DISTRIBUIDORA SA","Consumer Discretionary","Equity","78,132.16","0.04","78,132.16","19,244.00","S26837773","BRBRDTACNOR1","2683777","4.06","Brazil","XBSP","USD","5.50","BRL"
"2238","GUANGZHOU AUTOMOBILE GROUP LTD H","Consumer Discretionary","Equity","77,683.48","0.04","77,683.48","74,696.00","-","CNE100000Q35","B433995","1.04","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD"
"1313","CHINA RESOURCES CEMENT HOLDINGS LT","Materials","Equity","77,642.69","0.04","77,642.69","64,168.00","-","KYG2113L1068","B41XC98","1.21","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD"
"MAXIS","MAXIS","Communication","Equity","77,520.32","0.04","77,520.32","61,524.00","-","MYL6012OO008","B5387L5","1.26","Malaysia","Bursa Malaysia","USD","4.05","MYR"
"PETGAS","PETRONAS GAS","Utilities","Equity","77,499.93","0.04","77,499.93","18,675.00","S67039727","MYL6033OO004","6703972","4.15","Malaysia","Bursa Malaysia","USD","4.05","MYR"
"010140","SAMSUNG HEAVY INDUSTRIES LTD","Industrials","Equity","77,459.14","0.04","77,459.14","12,103.00","S67722173","KR7010140002","6772217","6.40","Korea (South)","Korea Exchange (Stock Market)","USD","1,097.35","KRW"
"HLBANK","HONG LEONG BANK","Financials","Equity","77,316.38","0.04","77,316.38","17,336.00","S64368921","MYL5819OO007","6436892","4.46","Malaysia","Bursa Malaysia","USD","4.05","MYR"
"BRAP4","BRADESPAR PREF SA","Materials","Equity","77,316.38","0.04","77,316.38","5,599.00","-","BRBRAPACNPR2","B01SCS4","13.81","Brazil","XBSP","USD","5.50","BRL"
