Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"IVV","ISHARES CORE S&P ETF","ETFs","Equity","492,513,717.60","40.74","492,513,717.60","1,306,056.00","1,306,056.00","464287200","US4642872000","2593025","377.10","United States","ARCX","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","-","Dec 01, 2009"
"IDEV","ISHARES CORE MSCI INT DEVEL ETF","ETFs","Equity","328,203,287.60","27.15","328,203,287.60","5,226,167.00","5,226,167.00","46435G326","US46435G3267","BF0BYP0","62.80","United States","ARCX","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","-","Mar 15, 2017"
"IUSB","ISHARES CORE TOTAL USD BOND MARKET","ETFs","Fixed Income","187,616,789.50","15.52","187,616,789.50","3,458,374.00","3,458,374.00","46434V613","US46434V6130","BN90WM7","54.25","United States","XNAS","USD","5.85","1.53","1.00","-","0.00","6.15","-","1.47","6.02","1.47","USD","-","Jun 10, 2014"
"IEMG","ISHARES CORE MSCI EMERGING MARKETS","ETFs","Equity","120,080,506.65","9.93","120,080,506.65","1,843,705.00","1,843,705.00","46434G103","US46434G1031","B8NDCB6","65.13","United States","ARCX","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","-","Oct 17, 2012"
"IAGG","iShares Core Intl Aggregate Bnd ET","ETFs","Fixed Income","33,177,660.23","2.74","33,177,660.23","592,141.00","592,141.00","46435G672","US46435G6724","BYQKX57","56.03","United States","BATS","USD","7.84","0.69","1.00","-","0.00","7.86","-","0.68","7.84","0.68","USD","-","Nov 10, 2015"
"IJH","ISHARES CORE S&P MID-CAP ETF","ETFs","Equity","32,242,728.00","2.67","32,242,728.00","133,455.00","133,455.00","464287507","US4642875078","2611637","241.60","United States","ARCX","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","-","May 22, 2000"
"IJR","ISHARES CORE S&P SMALL-CAP ETF","ETFs","Equity","14,125,771.92","1.17","14,125,771.92","141,882.00","141,882.00","464287804","US4642878049","2678869","99.56","United States","ARCX","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","-","May 22, 2000"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","1,013,000.01","0.08","1,013,000.01","1,013,000.00","1,013,000.00","066922477","US0669224778","-","1.00","United States","-","USD","0.12","0.08","1.00","-","0.13","0.13","-","0.08","0.13","0.08","USD","-","Feb 04, 2009"
"SGAFT","CASH COLLATERAL USD SGAFT","Cash and/or Derivatives","Cash Collateral and Margins","62,000.00","0.01","62,000.00","620.00","620.00","-","-","-","100.00","United States","-","USD","0.00","0.13","1.00","Dec 31, 2049","0.13","0.00","-","0.13","0.00","0.13","USD","Sep 01, 2016","Aug 02, 2016"
"ESH1","S&P500 EMINI MAR 21","Cash and/or Derivatives","Futures","0.00","0.00","940,575.00","0.00","0.00","-","-","-","3,762.30","United States","XIOM","USD","0.00","-","1.00","Mar 19, 2021","0.00","0.00","-","-","0.00","-","USD","-","Dec 20, 2019"
"USD","USD CASH","Cash and/or Derivatives","Cash","-92,140.94","-0.01","-92,140.94","-921.00","-921.00","-","-","-","100.00","United States","-","USD","0.00","0.13","1.00","-","0.00","0.00","-","0.13","0.00","0.13","USD","-","Jan 01, 1989"
