Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"EAGG","iShares ESG Aware US Agg Bond ETF","Other","Equity","2,385,578.40","57.31","2,385,578.40","42,320.00","42,320.00","46435U549","US46435U5496","BF2KNM5","56.37","United States","NYSE Arca","USD","5.97","1.07","1.00","-","0.00","6.26","-","1.05","6.22","1.05","USD","Oct 23, 2018","-"
"ESGU","iShares ESG Aware MSCI USA ETF","Financials","Equity","964,364.31","23.17","964,364.31","11,291.00","11,291.00","46435G425","US46435G4257","BD6C4F3","85.41","United States","NASDAQ","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","Dec 01, 2016","-"
"ESGD","iShares ESG Aware MSCI EAFE ETF","Financials","Equity","451,122.80","10.84","451,122.80","6,184.00","6,184.00","46435G516","US46435G5163","BD06LG1","72.95","United States","NASDAQ","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","Jun 30, 2016","-"
"ESGE","iShares ESG Aware MSCI EM ETF","Financials","Equity","213,426.05","5.13","213,426.05","5,149.00","5,149.00","46434G863","US46434G8630","BD06LN8","41.45","United States","NASDAQ","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","Jun 30, 2016","-"
"ESML","iShares ESG Aware MSCI USA Small-C","Financials","Equity","120,738.44","2.90","120,738.44","3,548.00","3,548.00","46435U663","US46435U6635","BDS5PH9","34.03","United States","Cboe BZX formerly known as BATS","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","Apr 12, 2018","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","17,350.83","0.42","17,350.83","17,351.00","17,351.00","-","-","-","100.00","United States","-","USD","0.00","0.15","1.00","-","0.00","0.00","-","0.15","0.00","0.15","USD","Jan 01, 1989","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","10,000.00","0.24","10,000.00","10,000.00","10,000.00","066922477","US0669224778","-","1.00","United States","-","USD","0.09","0.09","1.00","-","0.15","0.12","-","0.09","0.12","0.09","USD","Feb 04, 2009","-"
