Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"TREASURY FLOATING RATE NOTE","Treasuries","Fixed Income","169,849,155.85","45.03","169,849,155.85","169,743,600.00","91282CAS0","US91282CAS08","BMYVTW7","100.03","United States","-","USD","0.01","0.12","1.00","Oct 31, 2022","0.14","0.01","-","0.12","0.01","0.12","USD","Nov 02, 2020","Oct 31, 2020"
"TREASURY FLOATING RATE NOTE","Treasuries","Fixed Income","68,867,072.14","18.26","68,867,072.14","68,655,600.00","912828YN4","US912828YN43","BKZ7NG2","100.21","United States","-","USD","0.01","0.10","1.00","Oct 31, 2021","0.38","0.01","-","0.10","0.01","0.10","USD","Oct 31, 2019","Oct 31, 2019"
"TREASURY FLOATING RATE NOTE","Treasuries","Fixed Income","36,426,730.23","9.66","36,426,730.23","36,408,600.00","9128285Y2","US9128285Y20","BGC26G3","100.00","United States","-","USD","0.01","0.19","1.00","Jan 31, 2021","0.20","0.01","-","0.19","0.01","0.19","USD","Jan 31, 2019","Jan 31, 2019"
"TREASURY FLOATING RATE NOTE","Treasuries","Fixed Income","35,034,775.43","9.29","35,034,775.43","35,000,000.00","91282CBK6","US91282CBK62","BMZ2XP0","100.10","United States","-","USD","0.01","0.07","1.00","Jan 31, 2023","0.13","0.26","-","0.07","0.26","0.07","USD","Feb 01, 2021","Jan 31, 2021"
"TREASURY FLOATING RATE NOTE","Treasuries","Fixed Income","33,501,943.16","8.88","33,501,943.16","33,472,600.00","9128286Q8","US9128286Q86","BK1LRK0","100.03","United States","-","USD","0.01","0.09","1.00","Apr 30, 2021","0.22","0.01","-","0.09","0.01","0.09","USD","Apr 30, 2019","Apr 30, 2019"
"TREASURY FLOATING RATE NOTE","Treasuries","Fixed Income","18,565,323.37","4.92","18,565,323.37","18,537,600.00","912828ZK9","US912828ZK94","BMXPS12","100.10","United States","-","USD","0.01","0.11","1.00","Apr 30, 2022","0.19","0.01","-","0.11","0.01","0.11","USD","Apr 30, 2020","Apr 30, 2020"
"WI TREASURY FLOATING RATE NOTE","Treasuries","Fixed Income","18,083,486.43","4.79","18,083,486.43","18,072,800.00","91282CAA9","US91282CAA99","-","100.02","United States","-","USD","0.01","0.10","1.00","Jul 31, 2022","0.14","0.01","-","0.10","0.01","0.10","USD","Jul 31, 2020","Jul 31, 2020"
"BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","15,498,000.00","4.11","15,498,000.00","15,498,000.00","066922477","US0669224778","-","1.00","United States","-","USD","0.12","0.08","1.00","-","0.12","0.13","-","0.08","0.13","0.08","USD","Feb 04, 2009","-"
"TREASURY NOTE","Treasuries","Fixed Income","13,690,874.28","3.63","13,690,874.28","13,665,000.00","912828Z45","US912828Z450","-","100.13","United States","-","USD","0.01","0.10","1.00","Jan 31, 2022","0.23","0.01","-","0.10","0.01","0.10","USD","Jan 31, 2020","Jan 31, 2020"
"TREASURY FLOATING RATE NOTE","Treasuries","Fixed Income","2,700,992.43","0.72","2,700,992.43","2,696,100.00","9128287G9","US9128287G95","-","100.11","United States","-","USD","0.01","0.09","1.00","Jul 31, 2021","0.30","0.01","-","0.09","0.01","0.09","USD","Jul 31, 2019","Jul 31, 2019"
"USD CASH","Cash and/or Derivatives","Cash","-35,025,802.89","-9.29","-35,025,802.89","-35,025,803.00","-","-","-","100.00","United States","-","USD","0.00","0.12","1.00","-","0.00","0.00","-","0.12","0.00","0.12","USD","Jan 01, 1989","-"
