Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Money Market","-","Money Market","14,506,999.92","71.39","14,506,999.92","14,507,000.00","066922477","US0669224778","-","1.00","United States","-","USD","0.09","0.09","1.00","-","0.12","-","0.09","0.12","0.09","USD","Feb 04, 2009","-"
"IAU","ISHARES GOLD TRUST","Alternative","-","Alternative","4,873,346.82","23.98","4,873,346.82","272,102.00","464285105","US4642851053","B05ND15","17.91","United States","NYSE Arca","USD","0.00","0.15","1.00","-","0.00","-","0.15","0.00","0.15","USD","Jan 21, 2005","-"
"SGAFT","CASH COLLATERAL USD SGAFT","Cash Collateral and Margins","-","Cash Collateral and Margins","912,000.00","4.49","912,000.00","912,000.00","-","-","-","100.00","United States","-","USD","0.00","0.15","1.00","Dec 31, 2049","0.00","-","0.15","0.00","0.15","USD","Aug 02, 2016","Sep 01, 2016"
"USD","USD CASH","Cash","-","Cash","28,426.51","0.14","28,426.51","28,427.00","-","-","-","100.00","United States","-","USD","0.00","0.15","1.00","-","0.00","-","0.15","0.00","0.15","USD","Jan 01, 1989","-"
"GCG1","GOLD 100 OZ FEB 21","Futures","-","Futures","0.00","0.00","15,439,780.00","82.00","-","-","-","1,882.90","United States","Commodities Exchange Center","USD","0.00","-","1.00","Feb 24, 2021","0.00","-","-","0.00","-","USD","Mar 29, 2019","-"
