Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"ISHARES IBOXX $ HIGH YIELD CORP BO","Financial Other","Fixed Income","72,145,198.74","96.66","72,145,198.74","827,543.00","464288513","US4642885135","B1VZ486","87.18","United States","NYSE Arca","USD","3.73","4.66","1.00","-","0.00","4.84","-","3.90","3.26","3.90","USD","Apr 04, 2007","Apr 12, 2007"
"CASH COLLATERAL USD XJPM","Cash and/or Derivatives","Cash Collateral and Margins","1,395,000.00","1.87","1,395,000.00","1,395,000.00","-","-","-","100.00","United States","-","USD","0.00","0.11","1.00","Dec 31, 2049","0.11","0.00","-","0.11","0.00","0.11","USD","Feb 01, 2009","Feb 01, 2009"
"BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","1,010,000.00","1.35","1,010,000.00","1,010,000.00","066922477","US0669224778","-","1.00","United States","-","USD","0.10","0.03","1.00","-","0.11","0.13","-","0.03","0.13","0.03","USD","Feb 04, 2009","-"
"SWP: USD 0.774500 01-APR-2030","Cash and/or Derivatives","Swaps","885,470.65","1.19","-10,774,529.35","-11,660,000.00","-","-","-","-7.59","United States","-","USD","8.41","1.54","1.00","Apr 01, 2030","0.77","8.41","-","1.54","8.41","1.54","USD","Mar 26, 2020","Mar 30, 2020"
"SWP: USD 0.326500 15-SEP-2025","Cash and/or Derivatives","Swaps","746,241.87","1.00","-28,153,758.13","-28,900,000.00","-","-","-","-2.58","United States","-","USD","4.22","0.72","1.00","Sep 15, 2025","0.33","4.22","-","0.72","4.22","0.72","USD","Sep 11, 2020","Sep 15, 2020"
"USD CASH","Cash and/or Derivatives","Cash","147,199.64","0.20","147,199.64","147,200.00","-","-","-","100.00","United States","-","USD","0.00","0.11","1.00","-","0.00","0.00","-","0.11","0.00","0.11","USD","Jan 01, 1989","-"
"SWP: USD 0.862500 30-MAR-2045","Cash and/or Derivatives","Swaps","120,413.80","0.16","-339,586.20","-460,000.00","-","-","-","-26.18","United States","-","USD","21.35","2.13","1.00","Mar 30, 2045","0.86","21.35","-","2.13","21.35","2.13","USD","Mar 26, 2020","Mar 30, 2020"
"SWP: USD 1.060000 18-SEP-2050","Cash and/or Derivatives","Swaps","3,935.19","0.01","-11,064.81","-15,000.00","-","-","-","-26.23","United States","-","USD","24.90","2.14","1.00","Sep 18, 2050","1.06","24.90","-","2.14","24.90","2.14","USD","Sep 16, 2020","Sep 18, 2020"
"SWP: USD 0.874000 30-MAR-2050","Cash and/or Derivatives","Swaps","3,013.00","0.00","-6,987.00","-10,000.00","-","-","-","-30.13","United States","-","USD","25.21","2.15","1.00","Mar 30, 2050","0.87","25.21","-","2.15","25.21","2.15","USD","Mar 26, 2020","Mar 30, 2020"
"SWP: USD 0.220513 18-SEP-2022","Cash and/or Derivatives","Swaps","2,289.97","0.00","-11,147,710.03","-11,150,000.00","-","-","-","-0.02","United States","-","USD","1.25","0.04","1.00","Sep 18, 2022","0.22","1.25","-","0.04","1.25","0.04","USD","Sep 16, 2020","Sep 18, 2020"
"SWP: USD 2.383500 12-JAN-2023","Cash and/or Derivatives","Swaps","-581,670.22","-0.78","-14,286,670.22","-13,705,000.00","-","-","-","4.24","United States","-","USD","1.72","0.07","1.00","Jan 12, 2023","2.38","1.72","-","0.07","1.72","0.07","USD","Jan 10, 2018","Jan 12, 2018"
"DERIV USD BALANCE WITH R73215 CME","Cash and/or Derivatives","Cash Collateral and Margins","-1,236,599.87","-1.66","-1,236,599.87","-1,236,600.00","-","-","-","100.00","United States","-","USD","0.00","0.11","1.00","Apr 01, 2021","0.11","0.00","-","0.11","0.00","0.11","USD","Jan 01, 2000","Jan 01, 2000"
