Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"LAND","LAND SECURITIES GROUP REIT PLC","Real Estate","Equity","26,780.21","0.29","26,780.21","2,908.00","-","GB00BYW0PQ60","BYW0PQ6","9.21","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"JMAT","JOHNSON MATTHEY PLC","Materials","Equity","26,420.93","0.29","26,420.93","797.00","-","GB00BZ4BQC70","BZ4BQC7","33.15","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"DLG","DIRECT LINE INSURANCE PLC","Financials","Equity","24,505.69","0.27","24,505.69","5,621.00","-","GB00BY9D0Y18","BY9D0Y1","4.36","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"HIK","HIKMA PHARMACEUTICALS PLC","Health Care","Equity","24,500.17","0.27","24,500.17","712.00","-","GB00B0LCW083","B0LCW08","34.42","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"BLND","BRITISH LAND REIT PLC","Real Estate","Equity","24,235.77","0.26","24,235.77","3,628.00","S01367010","GB0001367019","0136701","6.68","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"MRW","MORRISON(WM.)SUPERMARKETS PLC","Consumer Staples","Equity","24,030.34","0.26","24,030.34","9,930.00","S06043160","GB0006043169","0604316","2.42","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"SDR","SCHRODERS PLC","Financials","Equity","23,347.70","0.25","23,347.70","512.00","S02405496","GB0002405495","0240549","45.61","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"SBRY","SAINSBURY(J) PLC","Consumer Staples","Equity","22,525.97","0.24","22,525.97","7,314.00","-","GB00B019KW72","B019KW7","3.08","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"PHNX","PHOENIX GROUP HOLDINGS PLC","Financials","Equity","21,540.25","0.23","21,540.25","2,248.00","-","GB00BGXQNP29","BGXQNP2","9.58","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"JD.","JD SPORTS FASHION PLC","Consumer Discretionary","Equity","21,158.86","0.23","21,158.86","1,799.00","-","GB00BYX91H57","BYX91H5","11.76","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"AVV","AVEVA GROUP PLC","Information Technology","Equity","20,681.66","0.22","20,681.66","473.00","-","GB00BBG9VN75","BBG9VN7","43.77","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"EVR","EVRAZ","Materials","Equity","13,375.37","0.15","13,375.37","2,074.00","-","GB00B71N6K86","B71N6K8","6.45","United Kingdom","London Stock Exchange","USD","0.73","GBP"
