Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"IUSB","ISHARES CORE TOTAL USD BOND MARKET","Corporates","Fixed Income","515,028,297.64","31.53","515,028,297.64","9,498,862.00","9,498,862.00","46434V613","US46434V6130","BN90WM7","54.22","United States","XNAS","USD","5.81","1.55","1.00","-","0.00","6.11","-","1.50","5.98","1.50","USD","-","Jun 10, 2014"
"IVV","ISHARES CORE S&P ETF","Corporates","Equity","512,898,806.16","31.40","512,898,806.16","1,345,626.00","1,345,626.00","464287200","US4642872000","2593025","381.16","United States","ARCX","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","-","Dec 01, 2009"
"IDEV","ISHARES CORE MSCI INT DEVEL ETF","Corporates","Equity","341,141,650.50","20.88","341,141,650.50","5,385,030.00","5,385,030.00","46435G326","US46435G3267","BF0BYP0","63.35","United States","ARCX","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","-","Mar 15, 2017"
"IEMG","ISHARES CORE MSCI EMERGING MARKETS","Corporates","Equity","124,237,437.00","7.61","124,237,437.00","1,899,655.00","1,899,655.00","46434G103","US46434G1031","B8NDCB6","65.40","United States","ARCX","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","-","Oct 17, 2012"
"IAGG","iShares Core Intl Aggregate Bnd ET","Corporates","Fixed Income","91,126,799.79","5.58","91,126,799.79","1,626,393.00","1,626,393.00","46435G672","US46435G6724","BYQKX57","56.03","United States","BATS","USD","7.80","0.73","1.00","-","0.00","7.82","-","0.71","7.81","0.71","USD","-","Nov 10, 2015"
"IJH","ISHARES CORE S&P MID-CAP ETF","Corporates","Equity","33,251,595.18","2.04","33,251,595.18","137,534.00","137,534.00","464287507","US4642875078","2611637","241.77","United States","ARCX","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","-","May 22, 2000"
"IJR","ISHARES CORE S&P SMALL-CAP ETF","Corporates","Equity","14,466,817.82","0.89","14,466,817.82","146,159.00","146,159.00","464287804","US4642878049","2678869","98.98","United States","ARCX","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","-","May 22, 2000"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","1,372,999.99","0.08","1,372,999.99","1,373,000.00","1,373,000.00","066922477","US0669224778","-","1.00","United States","-","USD","0.12","0.08","1.00","-","0.13","0.13","-","0.08","0.13","0.08","USD","-","Feb 04, 2009"
"USD","USD CASH","Cash and/or Derivatives","Cash","-94,267.82","-0.01","-94,267.82","-943.00","-943.00","-","-","-","100.00","United States","-","USD","0.00","0.13","1.00","-","0.00","0.00","-","0.13","0.00","0.13","USD","-","Jan 01, 1989"
