Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"KRZ","KERRY GROUP PLC","Consumer Staples","Equity","2,268,271.81","0.45","2,268,271.81","15,631.00","S45195799","IE0004906560","4519579","145.11","Ireland","Irish Stock Exchange - All Market","USD","0.81","EUR"
"DHER","DELIVERY HERO","Consumer Discretionary","Equity","2,246,321.44","0.45","2,246,321.44","12,698.00","-","DE000A2E4K43","BZCNB42","176.91","Germany","Xetra","USD","0.81","EUR"
"MRK","MERCK","Health Care","Equity","2,232,665.69","0.44","2,232,665.69","12,704.00","S47418447","DE0006599905","4741844","175.74","Germany","Xetra","USD","0.81","EUR"
"NOKIA","NOKIA","Information Technology","Equity","2,187,854.57","0.43","2,187,854.57","555,293.00","S59029413","FI0009000681","5902941","3.94","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.81","EUR"
"ML","MICHELIN","Consumer Discretionary","Equity","2,140,362.89","0.42","2,140,362.89","16,684.00","S45883642","FR0000121261","4588364","128.29","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"DBK","DEUTSCHE BANK AG","Financials","Equity","2,097,625.42","0.42","2,097,625.42","193,152.00","S57503559","DE0005140008","5750355","10.86","Germany","Xetra","USD","0.81","EUR"
"AKZA","AKZO NOBEL NV","Materials","Equity","2,076,838.33","0.41","2,076,838.33","18,973.00","-","NL0013267909","BJ2KSG2","109.46","Netherlands","Euronext Amsterdam","USD","0.81","EUR"
"FRE","FRESENIUS SE AND CO KGAA","Health Care","Equity","1,967,086.50","0.39","1,967,086.50","41,109.00","S43520972","DE0005785604","4352097","47.85","Germany","Xetra","USD","0.81","EUR"
"FCA","FIAT CHRYSLER AUTOMOBILES NV","Consumer Discretionary","Equity","1,966,530.16","0.39","1,966,530.16","107,933.00","-","NL0010877643","BRJFWP3","18.22","Italy","Borsa Italiana","USD","0.81","EUR"
"TEP","TELEPERFORMANCE","Industrials","Equity","1,941,798.06","0.38","1,941,798.06","5,771.00","S59993303","FR0000051807","5999330","336.50","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"HEN3","HENKEL & KGAA PREF AG","Consumer Staples","Equity","1,933,048.26","0.38","1,933,048.26","17,519.00","S50767052","DE0006048432","5076705","110.34","Germany","Xetra","USD","0.81","EUR"
"SAMPO","SAMPO","Financials","Equity","1,929,255.00","0.38","1,929,255.00","46,321.00","S52260387","FI0009003305","5226038","41.65","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.81","EUR"
